Ana Kategori;Alt Kategori;Marka;Ürün Adı;Fiyat;Resim URL;Sosyal Kanıt (Favori);Yıldız;Yorum Sayısı
"Spor&Outdoor";"Elektrikli Bisiklet";"Volta";"VB4 ELEKTRİKLİ BİSİKLET";"27.867,53 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1595/prod/QC/20241025/18/b4bfa41d-1872-3081-b659-6b44ba9cde62/1_org_zoom.jpg";"En Çok Satan 6. Ürün";"4.1";"19"
"Spor&Outdoor";"Elektrikli Bisiklet";"RKS";"Rs3 Pro X Elektrikli Bisiklet Gümüş/gri";"32.900 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1515/product/media/images/prod/QC/20240901/01/d7f48d8b-3871-3ee8-98f2-1ad6e070f7ac/1_org_zoom.jpg";"En Çok Satan 9. Ürün";"2";"15"
"Spor&Outdoor";"Elektrikli Bisiklet";"RKS";"Rs3 Pro X Elektrikli Bisiklet Siyah";"38.150 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1546/prod/QC/20240915/20/48afc1cb-878e-3718-b0fe-15506ee81111/1_org_zoom.jpg";"En Çok Değerlendirilen 1. Ürün";"2";"172"
"Spor&Outdoor";"Elektrikli Bisiklet";"Motolux";"MOTLUX SUPER 54 ELEKTİRKLİ BİSİKLET 2026";"63.999 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1936/prod/QC_PREP/20260511/13/1b356c80-df2e-3480-b922-76342407b85f/1_org_zoom.jpg";"Birlikte Al Kazan";"2";"0"
"Spor&Outdoor";"Elektrikli Bisiklet";"RKS";"Skyjet Nitro Pro Pedal Destekli Elektrikli Bisiklet Kahverengi";"30.999 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1850/prod/QC_ENRICHMENT/20260404/00/5f44c156-bbc2-35bc-95bd-8d3a0266daba/1_org_zoom.jpg";"Hızlı teslimat yapılıyor!";"3.6";"13"
"Spor&Outdoor";"Elektrikli Bisiklet";"OLA";"EFD3 Gizli Bataryalı Katlanabilir Elektrikli Bisiklet 20";"30.999 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1694/prod/QC_PREP/20250612/11/93aa493a-bf70-3f0a-9482-9ae0dd6b4597/1_org_zoom.jpg";"Hızlı teslimat yapılıyor!";"3.2";"6"
"Spor&Outdoor";"Elektrikli Bisiklet";"Ape Ryder";"MANDRILL ULTRA 1000W ELEKTRİKLİ BİSİKLET AYNA ÇANTA VE EL GAZI HEDİYELİ";"69.999 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1848/prod/QC_PREP/20260404/18/8aa0e11a-c468-31eb-b8d0-4e5d8862e8b2/1_org_zoom.jpg";"En Çok Satan 7. Ürün";"N/A";"0"
"Spor&Outdoor";"Elektrikli Bisiklet";"RKS";"Rsııı - Rs3 Pro X Elektrikli Bisiklet";"34.499 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1389/product/media/images/prod/QC/20240630/10/68f8dac2-dd8d-3ccb-bafb-da41e283c1f0/1_org_zoom.jpg";"Hızlı teslimat yapılıyor!";"3.8";"24"
"Spor&Outdoor";"Elektrikli Bisiklet";"RKS";"Rsı X Pro Elektrikli Katlanır Bisiklet Gri";"31.391,04 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1652/prod/QC/20250317/14/d0045bf8-5bd1-3ed2-9a8d-13f9ebdddc9f/1_org_zoom.jpg";"Hızlı teslimat yapılıyor!";"2";"6"
"Spor&Outdoor";"Elektrikli Bisiklet";"Xiaomi";"Smart Akıllı Elektrikli Katlanabilir Bisiklet";"35.898 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1680/prod/QC/20250522/15/7bf25445-b616-3826-a9b8-9a16109937c8/1_org_zoom.jpg";"Hızlı teslimat yapılıyor!";"4.4";"15"
"Spor&Outdoor";"Elektrikli Bisiklet";"OLA";"Electrofold EFD1 Carbon Design Katlanabilir Elektrikli Bisiklet 20”";"28.899 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1727/prod/QC_ENRICHMENT/20250815/23/47453998-c4b6-3edd-8d0a-4797bffac105/1_org_zoom.jpg";"Hızlı teslimat yapılıyor!";"3.7";"19"
"Spor&Outdoor";"Elektrikli Bisiklet";"Volta";"VB2 PRO ELEKTRİKLİ BİSİKLET";"33.984,39 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1830/prod/QC_PREP/20260227/12/3cb4323c-1d7f-3f49-991a-395df78067e8/1_org_zoom.jpg";"Yetkili Satıcı";"1.0";"1"
"Spor&Outdoor";"Elektrikli Bisiklet";"Volta";"VB4 Elektrikli şehir Bisikleti (- Mat Siyah)";"28.900 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1832/prod/QC_ENRICHMENT/20260228/09/ebaf4d1a-a591-33bd-a52f-a1142e8636d3/1_org_zoom.jpg";"Yetkili Satıcı";"5.0";"2"
"Spor&Outdoor";"Elektrikli Bisiklet";"RKS";"NC20 ELEKTRİKLİ BİSİKLET";"36.674 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1521/product/media/images/prod/QC/20240902/14/36707881-7685-3b00-9e50-3a893843709f/1_org_zoom.jpg";"502 kişi favoriledi!";"4.0";"2"
"Spor&Outdoor";"Elektrikli Bisiklet";"APE";"Ryder Buffalo Elektrikli Bisiklet";"37.500 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1577/prod/QC/20240930/21/c378a206-4b03-3881-9d54-04a24745a771/1_org_zoom.jpg";"Hızlı teslimat yapılıyor!";"3.8";"12"
"Spor&Outdoor";"Elektrikli Bisiklet";"CN";"SKYJET NİTRO PRO KATLABİLİR ELEKTRİKLİ BİSİKLET NFC KARTLI ÇALIŞTIRMA";"38.000 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1855/prod/QC_PREP/20260417/13/2bb4d9f4-3742-3b6f-a8e7-af4481891957/1_org_zoom.jpg";"Hızlı teslimat yapılıyor!";"2";"0"
"Spor&Outdoor";"Elektrikli Bisiklet";"Skyjet";"Nıtro-16 Pedal Destekli Elektrikli Bisiklet (BEYAZ)";"27.450 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1748/prod/QC_ENRICHMENT/20250905/17/658bc80b-d54f-3ffd-98fd-19d663a17e1c/1_org_zoom.jpg";"Hızlı teslimat yapılıyor!";"2.6";"7"
"Spor&Outdoor";"Elektrikli Bisiklet";"Motolux";"MOTLUX SUPER 54 ELEKTİRKLİ BİSİKLET 2026";"65.999 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1916/prod/QC_PREP/20260511/13/6a36c6a5-927c-38e6-84e4-121a8b7cb0d6/1_org_zoom.jpg";"Birlikte Al Kazan";"2";"0"
"Spor&Outdoor";"Elektrikli Bisiklet";"Ape Ryder";"DC20 ELEKTRİKLİ BİSİKLET";"40.988 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1754/prod/QC_ENRICHMENT/20250911/10/30abe915-7dbf-328b-88be-39afe2fc0a0c/1_org_zoom.jpg";"679 kişi favoriledi!";"5.0";"1"
"Spor&Outdoor";"Elektrikli Bisiklet";"Reeder";"Reev Fancy Elektrikli Araba";"536.250 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1761/prod/QC_PREP/20250923/08/24c15b3a-ed2b-33f8-8756-03592fa4342e/1_org_zoom.jpg";"24 saatte 362 kişi inceledi!";"N/A";"0"
"Spor&Outdoor";"Elektrikli Bisiklet";"zlin";"ŞAHİN1 ELEKTRİKLİ BİSİKLET";"39.999 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1798/prod/QC_PREP/20251212/11/b525da4f-e8c4-314e-ab4d-c1a18d21d8a1/1_org_zoom.jpg";"Hızlı teslimat yapılıyor!";"5.0";"2"
"Spor&Outdoor";"Elektrikli Bisiklet";"RKS";"1s Elektrikli Bisiklet Siyah";"26.000 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1578/prod/QC/20241005/10/d03639ea-32c6-3d25-b4b8-8617b71ec81f/1_org_zoom.jpg";"En Çok Favorilenen 3. Ürün";"2";"81"
"Spor&Outdoor";"Elektrikli Bisiklet";"Skyjet";"S25 ELEKTRİKLİ BİSİKLET";"24.599 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty968/product/media/images/20230717/17/394508032/978249601/1/1_org_zoom.jpg";"Hızlı teslimat yapılıyor!";"N/A";"0"
"Spor&Outdoor";"Elektrikli Bisiklet";"Skyjet";"ROBISTO PRO KATLANABİLİR ELEKTİKLİ BISIKLET";"43.000 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1924/prod/QC_PREP/20260502/11/55352603-e3f8-39ed-a700-a4c590df2539/1_org_zoom.jpg";"Hızlı teslimat yapılıyor!";"N/A";"0"
"Spor&Outdoor";"Elektrikli Bisiklet";"Ape Ryder";"GENON ULTRA 750W ELEKTRİKLİ BİSİKLET AYNA ÇANTA VE EL GAZI HEDİYELİ";"53.799 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1853/prod/QC_PREP/20260406/13/745a32c8-3d23-3bd8-8eaa-5acaa992ee17/1_org_zoom.jpg";"Hızlı teslimat yapılıyor!";"N/A";"0"
"Spor&Outdoor";"Elektrikli Bisiklet";"Bisan";"E-Folding F4 Mekanik DİSK Katlanır Elektrikli Bisiklet";"35.150 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1900/prod/QC_PREP/20260504/15/79b3eed3-9248-329a-833a-36e9d7183895/1_org_zoom.jpg";"Hızlı teslimat yapılıyor!";"N/A";"0"
"Spor&Outdoor";"Elektrikli Bisiklet";"RKS";"Elektrikli Bisiklet - Rks W6";"28.199 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1427/product/media/images/prod/QC/20240717/19/e0d15ccb-e629-3f0e-88d9-31795d280b0d/1_org_zoom.jpg";"954 kişi favoriledi!";"3.0";"4"
"Spor&Outdoor";"Elektrikli Bisiklet";"Stradacycles";"E-Bro 20 Jant Hidrolik Disk Katlanabilir Fat Bike Bisiklet";"39.970 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1836/prod/QC_ENRICHMENT/20260313/15/ad009b3c-dd57-3425-a092-731485117d50/1_org_zoom.jpg";"Birlikte Al Kazan";"5";"1"
"Spor&Outdoor";"Elektrikli Bisiklet";"Bisan";"Comet 26 Jant Elektrikli Bisiklet 36V/250W Hub Motor 48 cm Alüminyum Kadro V-Fren 21 Vites -Gri";"47.500 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1771/prod/QC_ENRICHMENT/20251014/00/f080d5ee-f05c-38de-8c9a-5456c49255ea/1_org_zoom.jpg";"Hızlı teslimat yapılıyor!";"1.0";"2"
"Spor&Outdoor";"Elektrikli Bisiklet";"Skyjet";"NİTRO PRO ELEKTRİKLİ BİSİKLET";"33.999 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1197/product/media/images/prod/SPM/PIM/20240305/17/70155bc0-03b6-3cb5-95e1-8dc421f4dc00/1_org_zoom.jpg";"Hızlı teslimat yapılıyor!";"2.3";"3"
"Spor&Outdoor";"Elektrikli Bisiklet";"RKS";"RSI X PRO Elektrikli Katlanır Bisiklet";"33.264,39 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1455/product/media/images/prod/QC/20240802/13/42b9fd98-da16-3030-b56b-c42589ba719d/1_org_zoom.jpg";"En Çok Satan 10. Ürün";"2";"21"
"Spor&Outdoor";"Elektrikli Bisiklet";"RKS";"Rsııı Pro - Rs3 Pro Elektrikli Bisiklet - Siyah";"34.976 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1437/product/media/images/prod/QC/20240724/11/7b524d12-6435-3726-84c1-d08fba512f4e/1_org_zoom.jpg";"Hızlı teslimat yapılıyor!";"3.7";"3"
"Spor&Outdoor";"Elektrikli Bisiklet";"Bisan";"BİSAN Pyhton XT 29'' 12V HD Enduro Elektrikli Bisiklet - Mat Yeşil 43CM";"250.151 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1631/prod/QC/20250128/21/c39f3790-8880-34b1-89ae-ae12aa998591/1_org_zoom.jpg";"Hızlı teslimat yapılıyor!";"N/A";"0"
"Spor&Outdoor";"Elektrikli Bisiklet";"Volta";"VB3 ELEKTRİKLİ BİSİKLET";"25.500 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1916/prod/QC_PREP/20260506/13/05bb5039-be65-3487-8b80-1b6313431ac7/1_org_zoom.jpg";"Hızlı teslimat yapılıyor!";"N/A";"0"
"Spor&Outdoor";"Elektrikli Bisiklet";"Volta";"VB3 ELEKTRİKLİ BİSİKLET";"26.000 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1797/prod/QC_ENRICHMENT/20251210/06/11942b3a-0940-351c-a778-7282f892916c/1_org_zoom.jpg";"Hızlı teslimat yapılıyor!";"3.4";"5"
"Spor&Outdoor";"Elektrikli Bisiklet";"Ape Ryder";"Buffalo-F Orta Süspansiyonlu Elektrikli Bisiklet Antrasit";"66.000 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1609/prod/QC/20241201/02/f8a28203-8907-37cb-9219-61ddb0e65555/1_org_zoom.jpg";"Hızlı teslimat yapılıyor!";"2";"26"
"Spor&Outdoor";"Elektrikli Bisiklet";"RKS";"Nitro Pro Katlanabilir Elektrikli Bisiklet";"34.900 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1812/prod/QC_ENRICHMENT/20260119/10/5bef6db6-a004-3bdb-878f-c9962abdecd3/1_org_zoom.jpg";"En Çok Favorilenen 9. Ürün";"3.3";"27"
"Spor&Outdoor";"Elektrikli Bisiklet";"Stradacycles";"E-Bro 20 Jant Hidrolik Disk Katlanabilir Fat Bike Bisiklet";"39.970 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1860/prod/QC_ENRICHMENT/20260427/12/934d7491-0dac-3ebb-a343-346b0abf3811/1_org_zoom.jpg";"Birlikte Al Kazan";"5";"0"
"Spor&Outdoor";"Elektrikli Bisiklet";"Kuba";"Speedlıght Katlanbilir Elektrikli Bisiklet";"37.900 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1618/prod/QC/20241226/11/1857067b-a739-3f7f-9b1b-d1f5aa38b1d4/1_org_zoom.jpg";"En Çok Favorilenen 1. Ürün";"4.0";"135"
"Spor&Outdoor";"Elektrikli Bisiklet";"RKS";"Rs3 Pro X";"32.999 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1358/product/media/images/prod/QC/20240610/17/a99e0aed-f691-3289-9dc0-5c0f23bfb032/1_org_zoom.jpg";"Hızlı teslimat yapılıyor!";"4.3";"26"
"Spor&Outdoor";"Elektrikli Bisiklet";"Skyjet";"Robusto Premium Elektrikli Bisiklet";"46.874 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1764/prod/QC_ENRICHMENT/20250928/13/c35f0fa9-4b89-388f-8752-14ebfd5367e3/1_org_zoom.jpg";"Hızlı teslimat yapılıyor!";"2";"2"
"Spor&Outdoor";"Elektrikli Bisiklet";"RKS -Elektrikli Bisiklet";"Ape Ryder Bonobo Iki Kişilik Elektrikli Bisiklet";"69.499 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1541/product/media/images/ty1536/prod/QC/20240912/15/4eb4cce2-5d07-3076-9785-8304eaaf72ee/1_org_zoom.jpg";"682 kişi favoriledi!";"N/A";"0"
"Spor&Outdoor";"Elektrikli Bisiklet";"RKS";"Rs3 Pro Elektrikli Bisiklet";"39.999 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty606/product/media/images/20221120/14/218720008/627873064/1/1_org_zoom.jpg";"Hızlı teslimat yapılıyor!";"4.5";"14"
"Spor&Outdoor";"Elektrikli Bisiklet";"Citycoco";"Greaser ᴸᴹᵀᴰ";"140.000 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1808/prod/QC_PREP/20251231/16/5240743e-d3f4-3ee8-841b-8163e90e9dcf/1_org_zoom.jpg";"Hızlı teslimat yapılıyor!";"N/A";"0"
"Spor&Outdoor";"Elektrikli Bisiklet";"Volta";"VB1 NEO ELEKTRİKLİ BİSİKLET";"27.500 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1669/prod/QC/20250425/18/549e2cd5-9630-30dc-8b37-341fb8168aa7/1_org_zoom.jpg";"Hızlı teslimat yapılıyor!";"4.3";"6"
"Spor&Outdoor";"Elektrikli Bisiklet";"Skyjet";"ROBUSTO PREMIUM ELEKTRİKLİ BİSİKLET -750W AYNA ÇANTA VE EL GAZI HEDİYELİ";"39.499,20 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1915/prod/QC_ENRICHMENT/20260506/18/e96d5a47-7bf7-31f6-82ab-b4f88779c570/1_org_zoom.jpg";"Hızlı teslimat yapılıyor!";"2";"0"
"Spor&Outdoor";"Elektrikli Bisiklet";"Strada";"E-TRIO Hidrolik Disk 20 Jant Elektrikli Üç Tekerlekli Bisiklet";"143.290,02 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1837/prod/QC_ENRICHMENT/20260314/13/8bf236a6-8260-3259-ac3e-5d5acdb1a37d/1_org_zoom.jpg";"Hızlı teslimat yapılıyor!";"N/A";"0"
"Spor&Outdoor";"Elektrikli Bisiklet";"Stradacycles";"E-Bro 20 Jant Hidrolik Disk Katlanabilir Fat Bike Bisiklet";"37.945 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1838/prod/QC_PREP/20260313/15/da0083fc-baea-33c3-b011-cc5dddc2f0e0/1_org_zoom.jpg";"Birlikte Al Kazan";"5";"0"
"Spor&Outdoor";"Elektrikli Bisiklet";"Skyjet";"NİTRO 16 ELEKTRİKLİ BİSİKLET";"29.250 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1749/prod/QC_ENRICHMENT/20250905/17/9a95f794-8760-33c6-b004-f2c0625c6211/1_org_zoom.jpg";"Hızlı teslimat yapılıyor!";"4.8";"8"
"Spor&Outdoor";"Elektrikli Bisiklet";"RKS";"Bn5 Pro Katlanabilir Elektrikli Bisiklet Gri";"30.215,59 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1545/product/media/images/ty1550/prod/QC/20240916/09/e84107f1-216f-396d-8609-71f3a4b1db3a/1_org_zoom.jpg";"Hızlı teslimat yapılıyor!";"2";"17"
"Spor&Outdoor";"Elektrikli Bisiklet";"RKS -Elektrikli Bisiklet";"RKS LA ROSE (RD5) ELEKTRİKLİ BİSİKLET";"53.310 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1360/product/media/images/prod/QC/20240612/20/6fc684e6-dd47-38bc-9abd-0f5b2ebffd03/1_org_zoom.jpg";"Hızlı teslimat yapılıyor!";"2";"10"
"Spor&Outdoor";"Elektrikli Bisiklet";"Zlin Motors";"Troya Eco 3 Tekerlekli 2 Koltuklu Elektrikli Bisiklet";"94.999 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1895/prod/QC_PREP/20260430/13/77ae5348-0a41-3acb-b4a2-e768008184fa/1_org_zoom.jpg";"Hızlı teslimat yapılıyor!";"N/A";"0"
"Spor&Outdoor";"Elektrikli Bisiklet";"Kron";"DİSCOVERY 2026 KATLANIR HİDROLİK DİSK FREN 7 VİTES 20 JANT ELEKTRİKLİ BİSİKLET";"50.000 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1847/prod/QC_PREP/20260326/11/4650c3e5-2488-3734-902d-8cf1accfcc2c/1_org_zoom.jpg";"Yetkili Satıcı";"2";"0"
"Spor&Outdoor";"Elektrikli Bisiklet";"Ape Ryder";"MANDRİLL ULTRA 1000W ELEKTRİKLİ BİSİKLET AYNA ÇANTA VE EL GAZI HEDİYELİ";"65.000 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1848/prod/QC_PREP/20260404/18/a5d3dd43-a5fd-399f-9186-5c13330434da/1_org_zoom.jpg";"Hızlı teslimat yapılıyor!";"N/A";"0"
"Spor&Outdoor";"Elektrikli Bisiklet";"CN";"SKYJET NİTRO PRO KATLABİLİR ELEKTRİKLİ BİSİKLET NFC KARTLI ÇALIŞTIRMA";"38.000 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1854/prod/QC_PREP/20260417/13/6405e565-f534-3deb-b7f9-d9515b6fbcb6/1_org_zoom.jpg";"Hızlı teslimat yapılıyor!";"2";"0"
"Spor&Outdoor";"Elektrikli Bisiklet";"Volta";"VB2 PRO ELEKTRİKLİ BİSİKLET";"33.000 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1819/prod/QC_PREP/20260130/16/b455d405-c3ab-33e8-8806-9eaf0f673fe1/1_org_zoom.jpg";"Yetkili Satıcı";"1.0";"1"
"Spor&Outdoor";"Elektrikli Bisiklet";"Bisan";"Moon 700 47 V Elektrikli Bisiklet Metalik Gri-siyah";"51.900 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1748/prod/QC_ENRICHMENT/20250906/14/12fa4f34-be67-3676-8951-09e05ec1df52/1_org_zoom.jpg";"Hızlı teslimat yapılıyor!";"5.0";"3"
"Spor&Outdoor";"Elektrikli Bisiklet";"RKS";"Skyjet Nitro Pro Pedal Destekli Elektrikli Bisiklet Yeşil";"34.999 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1347/product/media/images/prod/QC/20240604/10/d14e6fe0-dba5-3400-986f-baba85a23b57/1_org_zoom.jpg";"Hızlı teslimat yapılıyor!";"4.0";"1"
"Spor&Outdoor";"Elektrikli Bisiklet";"Ape Ryder";"A10 Iki Kişilik Elektrikli Bisiklet";"38.500 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1766/prod/QC_ENRICHMENT/20250927/15/2b41b253-882a-3f29-adcf-c3c2f259aaa0/1_org_zoom.jpg";"Hızlı teslimat yapılıyor!";"N/A";"0"
"Spor&Outdoor";"Elektrikli Bisiklet";"Stradacycles";"E-Bro 20 Jant Hidrolik Disk Katlanabilir Fat Bike Bisiklet";"39.970 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1861/prod/QC_ENRICHMENT/20260427/12/2f58f536-989c-30c7-aa61-332693fef8d3/1_org_zoom.jpg";"Birlikte Al Kazan";"5";"0"
"Spor&Outdoor";"Elektrikli Bisiklet";"RKS";"Rsııı Pro X Elektirikli Bisiklet Katlanır Mekanik Disk Beyaz";"33.900 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1647/prod/QC/20250310/16/7edc41be-6ae0-30b0-a22f-470d863f7d11/1_org_zoom.jpg";"Hızlı teslimat yapılıyor!";"4.2";"13"
"Spor&Outdoor";"Elektrikli Bisiklet";"Volta";"VB5 Elektrikli Bisiklet";"47.500 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1832/prod/QC_ENRICHMENT/20260227/12/5daaca24-081e-3195-97c5-683e18fe7fb7/1_org_zoom.jpg";"1,2B kişi favoriledi!";"3.0";"10"
"Spor&Outdoor";"Elektrikli Bisiklet";"RKS";"1s Elektrikli Bisiklet Gri";"26.999 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1608/prod/QC/20241201/20/cad9011e-3999-3b88-aaa2-0c212ae9759a/1_org_zoom.jpg";"En Çok Değerlendirilen 9. Ürün";"2";"34"
"Spor&Outdoor";"Elektrikli Bisiklet";"Ape Ryder";"MANDRIL ELEKTRİKLİ BİSİKLET (GRİ)";"65.000 TL";"https://cdn.dsmcdn.com/mnresize/400/-/ty1852/prod/QC_PREP/20260408/12/e1efe265-2848-3d51-b077-810c47a0d6ca/1_org_zoom.jpg";"Hızlı teslimat yapılıyor!";"N/A";"0"
